check,passed
three_new_anonymous_concepts_invented,True
no_semantic_concept_names,True
all_concepts_full_support_zero_conflict,True
concepts_are_connected_two_u_patterns,True
two_same_port_world_motifs_remain_distinct,True
frozen_relation_a_world_match_positive,True
frozen_relation_a_world_mismatch_rejected,True
frozen_relation_b_world_match_positive,True
frozen_relation_b_world_mismatch_rejected,True
frozen_roundtrip_positive,True
frozen_wrong_return_rejected,True
story_isolation_blocks_cross_story_composition,True
reverse_temporal_order_rejected,True
sweet_porridge_reuses_same_higher_concept,True
versioned_active_concepts,True
