check,passed
four_intrinsically_strong_concepts_initially_staged,True
semantic_three_activated_by_historical_use,True
regular_unused_noise_remains_staged,True
queries_do_not_modify_story_evidence,True
staged_concept_excluded_from_normal_proof,True
staged_concept_visible_only_in_debug_candidate_mode,True
later_independent_use_promotes_staged_concept,True
promotion_does_not_insert_semantic_evidence,True
promoted_concept_now_participates_in_proof,True
query_without_matching_instance_adds_no_utility,True
query_without_matching_instance_adds_no_evidence,True
structural_counterevidence_challenges_even_used_active_concept,True
retired_concept_removed_from_active_proof,True
unrelated_active_r2_survives_and_proves,True
unrelated_active_r3_survives_and_proves,True
promoted_noise_survives_unrelated_attack,True
all_heads_remain_anonymous,True
lifecycle_history_preserved,True
