check,passed
event_u_training_three_anonymous_heads,True
event_u_rules_full_support_zero_conflict,True
raw_dev_contains_no_manual_R_injection,True
all_base_anonymous_events_come_from_raw_surface_classification,True
raw_text_produces_structural_W_X_Y_without_R_injection,True
generic_miner_reaches_fixed_point,True
autonomous_root_active,True
autonomous_second_level_uses_learned_root,True
autonomous_third_level_uses_learned_mid,True
hierarchy_depth_three_or_more,True
assertive_family_separate_and_active,True
roundtrip_family_active,True
unused_structured_noise_not_active,True
heldout_raw_text_reaches_high_concept,True
heldout_high_proof_covers_four_primitive_observations,True
heldout_wrong_world_binding_unknown,True
assertion_does_not_enter_directive_hierarchy,True
claim_context_materialized_without_world_action,True
command_without_independent_execution_unknown_at_high_level,True
cross_story_halves_do_not_compose,True
query_does_not_mutate_evidence_or_learning_state,True
two_frozen_raw_paraphrases_reach_high_concept,True
anti_tautology_no_direct_self_heads,True
all_learned_relation_heads_remain_anonymous,True
