name,category,status,seconds
TERNARY_U_KEY,core,PASS,0.628
TEMPORAL_STATE,core,PASS,0.631
CORE_V1,core,PASS,0.6
DICTIONARY_ONTOLOGY,language,PASS,0.623
CONTROLLED_E2E_V12,language,PASS,0.6
REFERENCE_U,language,PASS,0.644
CLAUSE_U,language,PASS,0.608
RAW_SWEET_PORRIDGE,language,PASS,0.61
CLAIM_WORLD_CONTEXT,language,PASS,0.617
QUOTE_BINDING,language,PASS,0.579
SHARED_RECURSIVE_V39,reasoning,PASS,0.674
MATH_OPT_V42,reasoning,PASS,13.542
REC_SUB,recursive_verifier,PASS,8.402
REC_MUL,recursive_verifier,PASS,27.06
REC_PATH,recursive_verifier,PASS,0.771
REC_PATH_COST,recursive_verifier,PASS,4.576
ADAPTIVE_LIBRARY_V45,learning,PASS,12.358
NESTED_LEARNING_V46,learning,PASS,12.984
AUTO_DEPENDENCY_V47,learning,PASS,12.47
ABSTRACTION_INVENTION_V48,learning,PASS,27.87
VERSIONED_REVISION_V49,learning,PASS,3.373
