name,category,status,seconds
TERNARY_U_KEY,core,PASS,0.62
TEMPORAL_STATE,core,PASS,0.641
CORE_V1,core,PASS,0.589
DICTIONARY_ONTOLOGY,language,PASS,0.577
CONTROLLED_E2E_V12,language,PASS,0.617
REFERENCE_U,language,PASS,0.681
CLAUSE_U,language,PASS,0.667
RAW_SWEET_PORRIDGE,language,PASS,0.66
CLAIM_WORLD_CONTEXT,language,PASS,0.739
QUOTE_BINDING,language,PASS,0.669
SHARED_RECURSIVE_V39,reasoning,PASS,0.668
MATH_OPT_V42,reasoning,PASS,13.632
REC_SUB,recursive_verifier,PASS,8.47
REC_MUL,recursive_verifier,PASS,27.69
REC_PATH,recursive_verifier,PASS,0.694
REC_PATH_COST,recursive_verifier,PASS,4.564
ADAPTIVE_LIBRARY_V45,learning,PASS,12.694
NESTED_LEARNING_V46,learning,PASS,13.054
AUTO_DEPENDENCY_V47,learning,PASS,12.488
ABSTRACTION_INVENTION_V48,learning,PASS,28.041
VERSIONED_REVISION_V49,learning,PASS,3.437
