check,passed
L0_simple_transitive_learns_working_U,True
L0_initial_U_is_position_based,True
L1_word_order_breaks_old_U,True
L1_revision_learns_case_based_U,True
L1_case_U_full_training_support_zero_conflict,True
L1_frozen_order_and_tense_transfer,True
L2_three_port_give_U_learned_uniquely,True
L2_give_U_full_training_support_zero_conflict,True
L2_frozen_scrambled_order_transfer,True
L3_reference_U_prefers_typed_unique_resolution,True
L3_role_typed_reference_and_ambiguity,True
L4_shared_subject_clause_U_full_support_zero_conflict,True
L4_shared_subject_clause_U_learned,True
L5_claim_directive_context_U_learned,True
L6_local_response_bound_learned,True
composite_heldout_reuses_prior_U,True
endboss_first_girl_quote_command_recognized,True
endboss_first_local_pot_cook_observation_recognized,True
endboss_first_command_plus_response_composes,True
endboss_mother_reporting_speaker_not_yet_solved,True
endboss_stop_formula_remains_unknown,True
no_nearest_noun_kitchen_cook_failure,True
