check,passed
generic_loop_reached_fixed_point,True
no_manual_layer_instruction_in_miner,True
root_concept_autonomously_discovered_and_active,True
second_level_uses_learned_root_and_is_active,True
third_level_uses_learned_mid_and_is_active,True
hierarchy_depth_at_least_three,True
new_concepts_become_learning_material,True
structured_unused_junk_not_active,True
no_direct_definitional_echo_activated,True
anti_tautology_support_sets_enforced,True
concept_budget_prevents_round_explosion,True
frozen_unseen_story_reaches_highest_concept,True
frozen_mismatch_does_not_reach_highest_concept,True
challenge_propagates_over_three_levels,True
root_revision_found_anonymous_guard,True
revision_reactivates_full_three_level_chain,True
descendant_versions_incremented_after_parent_revision,True
good_revised_chain_proves,True
guard_incompatible_chain_is_unknown,True
all_learned_heads_anonymous,True
