check,passed
frozen_v60_backend_24_checks_remain_green,True
locality_bound_learned_from_non_grimm_development,True
bridge_B1_role_typed_es_speaker_not_object,True
bridge_B1_local_response_binds_pot,True
bridge_B1_reaches_existing_anonymous_root,True
bridge_B2_reporting_inversion_after_quote,True
bridge_B2_inversion_chain_reaches_root,True
bridge_B3_shared_subject_clause_u,True
bridge_B4_nearest_place_does_not_steal_action_subject,True
reference_ambiguity_remains_unknown_no_new_entity_invented,True
grimm_unique_child_entity_resolved,True
grimm_unique_mother_entity_resolved,True
grimm_quote_directives_classified,True
grimm_girl_pot_cook_command,True
grimm_mother_pot_cook_command,True
grimm_pot_cook_world_observation,True
grimm_girl_command_plus_local_execution_reaches_R5,True
grimm_mother_command_plus_local_execution_reaches_R5,True
grimm_old_false_W_kitchen_cook_removed,True
grimm_no_false_W_edge_cook,True
grimm_mother_not_merged_with_old_woman,True
remote_attack_still_contains_later_pot_cook,True
remote_attack_girl_command_still_recognized,True
remote_later_execution_does_not_validate_old_girl_command,True
nearest_noun_attack_correct_pot_world_action,True
nearest_noun_attack_no_kitchen_world_action,True
query_lookup_does_not_mutate_evidence_or_learning,True
no_grimm_exact_sentence_rules_in_bridge,True
